Disorder Name,Severity Level,Symptoms,Recommended Medications,Required Food,Safety Precautions,Recommended Doctor,Treatment Plan,Follow-Up Recommendations,Patient Education,Recovery Time
Attention-Deficit/Hyperactivity Disorder (ADHD),Mild to Severe,"{'Early': 'Inattention, hyperactivity, and impulsivity.', 'Progressing': 'Increased difficulty with attention, hyperactivity, and impulsivity affecting daily life.', 'Severe': 'Significant impairment in academic, occupational, and social functioning.'}","{'First-Line': 'Stimulants (e.g., Methylphenidate, Amphetamine salts).', 'Alternative': 'Non-stimulant medications (e.g., Atomoxetine, Guanfacine) for those who cannot tolerate stimulants.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Some may benefit from dietary adjustments based on individual sensitivities.'}","{'Regular Monitoring': 'Frequent evaluations by a psychiatrist or pediatrician.', 'Manage Risk Factors': 'Medication adherence and behavioral therapies.'}","{'Primary Specialist': 'Psychiatrist or Pediatrician.', 'Additional Specialists': 'Educational psychologists and behavioral therapists.'}","{'Initial Care': 'Medication and behavioral therapy for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Not typically required unless severe symptoms or comorbid conditions arise.'}","{'Monitoring': 'Regular assessments of symptom control and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding ADHD symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of therapy adherence and creating supportive environments.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Major Depressive Disorder (MDD),Mild to Severe,"{'Early': 'Persistent feelings of sadness, loss of interest, and fatigue.', 'Progressing': 'Increased severity of depressive symptoms affecting daily life.', 'Severe': 'Significant impairment in daily functioning due to persistent and severe depression.'}","{'First-Line': 'SSRIs (e.g., Sertraline, Escitalopram), SNRIs (e.g., Duloxetine).', 'Alternative': 'Atypical antidepressants (e.g., Bupropion) if SSRIs/SNRIs are ineffective.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Mood-Stabilizing Foods': 'Foods rich in omega-3 fatty acids and antioxidants.'}","{'Regular Monitoring': 'Frequent evaluations by a psychiatrist.', 'Manage Risk Factors': 'Medication adherence and psychotherapy to manage symptoms.'}","{'Primary Specialist': 'Psychiatrist.', 'Additional Specialists': 'Clinical psychologists for therapy and support.'}","{'Initial Care': 'Medication and psychotherapy for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required if there is a risk of self-harm or severe impairment.'}","{'Monitoring': 'Regular assessments of symptom control and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding depression symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of therapy adherence and stress management techniques.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Borderline Personality Disorder (BPD),Mild to Severe,"{'Early': 'Intense and unstable emotions, fear of abandonment, and unstable relationships.', 'Progressing': 'Increased frequency and severity of emotional instability and relationship difficulties.', 'Severe': 'Significant impairment in interpersonal relationships, self-image, and mood.'}","{'First-Line': 'Mood stabilizers (e.g., Lamotrigine), atypical antipsychotics (e.g., Olanzapine).', 'Alternative': 'Antidepressants for co-occurring depression or anxiety.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Mood-Stabilizing Foods': 'Foods rich in omega-3 fatty acids and antioxidants.'}","{'Regular Monitoring': 'Frequent evaluations by a psychiatrist or therapist.', 'Manage Risk Factors': 'Medication adherence and dialectical behavior therapy (DBT).'}","{'Primary Specialist': 'Psychiatrist.', 'Additional Specialists': 'Clinical psychologists for DBT and support.'}","{'Initial Care': 'Medication and DBT for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required during severe episodes or if there is a risk of self-harm.'}","{'Monitoring': 'Regular assessments of emotional stability and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding BPD symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of therapy adherence and building coping strategies.'}",Chronic condition with ongoing management focused on emotional stability and functional improvement.
Panic Disorder,Mild to Severe,"{'Early': 'Recurrent, unexpected panic attacks with physical symptoms like palpitations and shortness of breath.', 'Progressing': 'Increased frequency of panic attacks and avoidance behaviors.', 'Severe': 'Significant impairment in daily life due to frequent and severe panic attacks.'}","{'First-Line': 'SSRIs (e.g., Paroxetine, Sertraline), SNRIs (e.g., Venlafaxine).', 'Alternative': 'Benzodiazepines for short-term relief during acute panic attacks.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Stress-Reducing Foods': 'Foods rich in omega-3 fatty acids and antioxidants.'}","{'Regular Monitoring': 'Frequent evaluations by a psychiatrist or therapist.', 'Manage Risk Factors': 'Medication adherence and cognitive-behavioral therapy (CBT).'}","{'Primary Specialist': 'Psychiatrist or Clinical Psychologist.', 'Additional Specialists': 'Therapists specializing in CBT and relaxation techniques.'}","{'Initial Care': 'Medication and CBT for managing panic attacks.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Not typically required unless severe symptoms arise.'}","{'Monitoring': 'Regular assessments of symptom control and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding panic disorder symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of therapy adherence and stress management techniques.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Bipolar Disorder,Mild to Severe,"{'Early': 'Mood swings between manic/hypomanic and depressive episodes.', 'Progressing': 'Increased frequency and severity of mood episodes.', 'Severe': 'Significant impairment in daily life due to extreme mood fluctuations.'}","{'First-Line': 'Mood stabilizers (e.g., Lithium, Valproate), atypical antipsychotics (e.g., Quetiapine).', 'Alternative': 'Antidepressants for depressive episodes in combination with mood stabilizers.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Mood-Stabilizing Foods': 'Foods rich in omega-3 fatty acids and antioxidants.'}","{'Regular Monitoring': 'Frequent evaluations by a psychiatrist.', 'Manage Risk Factors': 'Medication adherence and mood stabilization strategies.'}","{'Primary Specialist': 'Psychiatrist.', 'Additional Specialists': 'Clinical psychologists for therapy and support.'}","{'Initial Care': 'Medication and therapy for managing mood episodes.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required during severe episodes or if there is a risk of self-harm.'}","{'Monitoring': 'Regular assessments of mood stability and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding bipolar disorder symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of medication adherence and mood monitoring.'}",Chronic condition with ongoing management focused on mood stabilization and functional improvement.
Schizophrenia,Severe,"{'Early': 'Psychotic symptoms such as hallucinations, delusions, and disorganized thinking.', 'Progressing': 'Increased severity of psychotic symptoms and impaired functioning.', 'Severe': 'Significant impairment in daily life due to persistent psychotic symptoms.'}","{'First-Line': 'Atypical antipsychotics (e.g., Risperidone, Olanzapine).', 'Alternative': 'Typical antipsychotics (e.g., Haloperidol) for treatment-resistant cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Nutritional support to manage medication side effects.'}","{'Regular Monitoring': 'Frequent evaluations by a psychiatrist.', 'Manage Risk Factors': 'Medication adherence and psychoeducation.'}","{'Primary Specialist': 'Psychiatrist.', 'Additional Specialists': 'Clinical psychologists and social workers for support and therapy.'}","{'Initial Care': 'Medication and psychoeducation for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required during severe psychotic episodes or if there is a risk of self-harm.'}","{'Monitoring': 'Regular assessments of symptom control and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding schizophrenia symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of medication adherence and supportive therapy.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Autism Spectrum Disorder (ASD),Mild to Severe,"{'Early': 'Challenges with social interaction, communication, and repetitive behaviors.', 'Progressing': 'Increased challenges in social functioning and adaptive behaviors.', 'Severe': 'Significant impairment in daily life due to severe social and behavioral challenges.'}","{'First-Line': 'Medications for specific symptoms (e.g., SSRIs for anxiety, antipsychotics for severe agitation).', 'Alternative': 'Medications for co-occurring conditions such as ADHD or anxiety.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Dietary adjustments based on individual sensitivities or co-occurring conditions.'}","{'Regular Monitoring': 'Frequent evaluations by a multidisciplinary team.', 'Manage Risk Factors': 'Behavioral interventions and therapies.'}","{'Primary Specialist': 'Developmental Pediatrician or Psychiatrist.', 'Additional Specialists': 'Speech and language therapists, occupational therapists, and behavioral therapists.'}","{'Initial Care': 'Behavioral interventions and therapies for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and interventions tailored to individual needs.', 'Hospitalization': 'Not typically required unless severe behavioral issues arise.'}","{'Monitoring': 'Regular assessments of developmental progress and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding ASD symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of behavioral therapies and support services.'}",Chronic condition with ongoing management focused on developmental support and functional improvement.
Dementia,Mild to Severe,"{'Early': 'Memory loss, confusion, and difficulty with daily tasks.', 'Progressing': 'Increased memory impairment, confusion, and difficulties with communication and reasoning.', 'Severe': 'Significant impairment in cognitive functions and daily living activities.'}","{'First-Line': 'Cholinesterase inhibitors (e.g., Donepezil, Rivastigmine).', 'Alternative': 'Memantine for moderate to severe cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health and brain function.', 'Brain-Boosting Foods': 'Foods rich in omega-3 fatty acids and antioxidants.'}","{'Regular Monitoring': 'Frequent evaluations by a neurologist or geriatrician.', 'Manage Risk Factors': 'Medication adherence and cognitive stimulation activities.'}","{'Primary Specialist': 'Neurologist or Geriatrician.', 'Additional Specialists': 'Occupational therapists, speech therapists, and social workers for support and care planning.'}","{'Initial Care': 'Medication and cognitive therapies for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and care planning to support daily living.', 'Hospitalization': 'Required if there are severe behavioral issues or health complications.'}","{'Monitoring': 'Regular assessments of cognitive function and care needs.', 'Additional Tests': 'Neuroimaging or other tests based on progression and symptoms.'}","{'Disorder Management': 'Understanding dementia symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of cognitive stimulation and supportive care.'}",Progressive condition with ongoing management focused on symptom control and supportive care.
Parkinson's Disease,Mild to Severe,"{'Early': 'Tremors, rigidity, and bradykinesia (slowness of movement).', 'Progressing': 'Increased severity of motor symptoms and functional impairments.', 'Severe': 'Significant impairment in motor functions and daily living activities.'}","{'First-Line': 'Levodopa/carbidopa, Dopamine agonists (e.g., Pramipexole).', 'Alternative': 'MAO-B inhibitors (e.g., Selegiline) for symptom management.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Dietary adjustments based on medication side effects and individual needs.'}","{'Regular Monitoring': 'Frequent evaluations by a neurologist.', 'Manage Risk Factors': 'Medication adherence and physical therapy.'}","{'Primary Specialist': 'Neurologist.', 'Additional Specialists': 'Physical therapists and occupational therapists for motor function support.'}","{'Initial Care': 'Medication and physical therapy for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required if there are severe complications or health issues.'}","{'Monitoring': 'Regular assessments of motor function and therapy effectiveness.', 'Additional Tests': 'Neuroimaging or other tests based on progression and symptoms.'}","{'Disorder Management': ""Understanding Parkinson's disease symptoms and treatment options."", 'Lifestyle Adjustments': 'Importance of medication adherence and physical therapy.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Multiple Sclerosis (MS),Mild to Severe,"{'Early': 'Fatigue, vision problems, and motor dysfunction.', 'Progressing': 'Increased frequency and severity of neurological symptoms.', 'Severe': 'Significant impairment in motor, sensory, and cognitive functions.'}","{'First-Line': 'Disease-modifying therapies (e.g., Interferon beta, Glatiramer acetate).', 'Alternative': 'Oral medications (e.g., Fingolimod) for symptom management.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Anti-inflammatory diets and adjustments based on individual needs.'}","{'Regular Monitoring': 'Frequent evaluations by a neurologist.', 'Manage Risk Factors': 'Medication adherence and physical therapy.'}","{'Primary Specialist': 'Neurologist.', 'Additional Specialists': 'Physical therapists, occupational therapists, and social workers for support and care planning.'}","{'Initial Care': 'Medication and therapy for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required during severe exacerbations or complications.'}","{'Monitoring': 'Regular assessments of neurological function and therapy effectiveness.', 'Additional Tests': 'Neuroimaging or other tests based on progression and symptoms.'}","{'Disorder Management': 'Understanding MS symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of medication adherence and physical therapy.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Alzheimer's Disease,Mild to Severe,"{'Early': 'Memory loss and cognitive decline.', 'Progressing': 'Increased severity of cognitive impairment and difficulties with daily activities.', 'Severe': 'Significant impairment in cognitive functions and daily living activities.'}","{'First-Line': 'Cholinesterase inhibitors (e.g., Donepezil, Rivastigmine).', 'Alternative': 'Memantine for moderate to severe cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health and brain function.', 'Brain-Boosting Foods': 'Foods rich in omega-3 fatty acids and antioxidants.'}","{'Regular Monitoring': 'Frequent evaluations by a neurologist or geriatrician.', 'Manage Risk Factors': 'Medication adherence and cognitive stimulation activities.'}","{'Primary Specialist': 'Neurologist or Geriatrician.', 'Additional Specialists': 'Occupational therapists, speech therapists, and social workers for support and care planning.'}","{'Initial Care': 'Medication and cognitive therapies for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and care planning to support daily living.', 'Hospitalization': 'Required if there are severe behavioral issues or health complications.'}","{'Monitoring': 'Regular assessments of cognitive function and care needs.', 'Additional Tests': 'Neuroimaging or other tests based on progression and symptoms.'}","{'Disorder Management': ""Understanding Alzheimer's disease symptoms and treatment options."", 'Lifestyle Adjustments': 'Importance of cognitive stimulation and supportive care.'}",Progressive condition with ongoing management focused on symptom control and supportive care.
Huntington's Disease,Mild to Severe,"{'Early': 'Motor dysfunction, mood changes, and cognitive decline.', 'Progressing': 'Increased severity of motor symptoms, behavioral changes, and cognitive impairment.', 'Severe': 'Significant impairment in motor, cognitive, and emotional functions.'}","{'First-Line': 'Medications for symptom management (e.g., Tetrabenazine for chorea).', 'Alternative': 'Antidepressants or antipsychotics for mood and behavioral symptoms.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Dietary adjustments based on individual needs and symptom management.'}","{'Regular Monitoring': 'Frequent evaluations by a neurologist.', 'Manage Risk Factors': 'Medication adherence and physical therapy.'}","{'Primary Specialist': 'Neurologist.', 'Additional Specialists': 'Physical therapists, occupational therapists, and social workers for support and care planning.'}","{'Initial Care': 'Medication and therapies for managing symptoms.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required during severe episodes or complications.'}","{'Monitoring': 'Regular assessments of symptom control and therapy effectiveness.', 'Additional Tests': 'Neuroimaging or other tests based on progression and symptoms.'}","{'Disorder Management': ""Understanding Huntington's disease symptoms and treatment options."", 'Lifestyle Adjustments': 'Importance of medication adherence and supportive care.'}",Progressive condition with ongoing management focused on symptom control and functional improvement.
Myasthenia Gravis,Mild to Severe,"{'Early': 'Muscle weakness that worsens with activity and improves with rest.', 'Progressing': 'Increased muscle weakness and fatigue affecting daily activities.', 'Severe': 'Significant impairment in muscle function and respiratory difficulties.'}","{'First-Line': 'Acetylcholinesterase inhibitors (e.g., Pyridostigmine).', 'Alternative': 'Immunosuppressants (e.g., Prednisone) for severe cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Dietary adjustments based on individual needs and muscle function.'}","{'Regular Monitoring': 'Frequent evaluations by a neurologist.', 'Manage Risk Factors': 'Medication adherence and regular monitoring for complications.'}","{'Primary Specialist': 'Neurologist.', 'Additional Specialists': 'Respiratory therapists and occupational therapists for support.'}","{'Initial Care': 'Medication and symptom management for muscle weakness.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required during severe exacerbations or respiratory crises.'}","{'Monitoring': 'Regular assessments of muscle function and therapy effectiveness.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding Myasthenia Gravis symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of medication adherence and energy management.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Epilepsy,Mild to Severe,"{'Early': 'Recurrent seizures, with varying types depending on the individual.', 'Progressing': 'Increased frequency or severity of seizures.', 'Severe': 'Significant impairment in daily life due to frequent and severe seizures.'}","{'First-Line': 'Antiepileptic drugs (e.g., Levetiracetam, Lamotrigine).', 'Alternative': 'Other antiepileptic drugs (e.g., Valproate) for treatment-resistant cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Ketogenic diet for some individuals with drug-resistant epilepsy.'}","{'Regular Monitoring': 'Frequent evaluations by a neurologist.', 'Manage Risk Factors': 'Medication adherence and seizure prevention strategies.'}","{'Primary Specialist': 'Neurologist.', 'Additional Specialists': 'Epileptologists and support groups for ongoing care.'}","{'Initial Care': 'Medication for seizure control.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required during severe seizures or complications.'}","{'Monitoring': 'Regular assessments of seizure control and therapy effectiveness.', 'Additional Tests': 'Neuroimaging or other tests based on progression and symptoms.'}","{'Disorder Management': 'Understanding epilepsy symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of medication adherence and seizure management strategies.'}",Chronic condition with ongoing management focused on seizure control and functional improvement.
Chronic Fatigue Syndrome (CFS),Mild to Severe,"{'Early': 'Persistent fatigue that does not improve with rest.', 'Progressing': 'Increased severity of fatigue, with additional symptoms such as muscle pain and cognitive difficulties.', 'Severe': 'Significant impairment in daily life due to debilitating fatigue and associated symptoms.'}","{'First-Line': 'Medications for symptom management (e.g., antidepressants for mood symptoms).', 'Alternative': 'Medications for specific symptoms such as sleep disturbances.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Dietary adjustments based on individual symptoms and needs.'}","{'Regular Monitoring': 'Frequent evaluations by a healthcare provider.', 'Manage Risk Factors': 'Symptom management and lifestyle adjustments.'}","{'Primary Specialist': 'Internist or Infectious Disease Specialist.', 'Additional Specialists': 'Physical therapists and mental health professionals for support.'}","{'Initial Care': 'Symptom management and lifestyle adjustments.', 'Ongoing Care': 'Regular assessments and adjustments to management strategies.', 'Hospitalization': 'Not typically required unless complications arise.'}","{'Monitoring': 'Regular assessments of symptom management and functional improvement.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding CFS symptoms and management strategies.', 'Lifestyle Adjustments': 'Importance of energy management and gradual increase in activity.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Fibromyalgia,Mild to Severe,"{'Early': 'Widespread muscle pain and tenderness.', 'Progressing': 'Increased severity of pain, fatigue, and cognitive difficulties.', 'Severe': 'Significant impairment in daily life due to severe pain and associated symptoms.'}","{'First-Line': 'Medications for pain management (e.g., Duloxetine, Pregabalin).', 'Alternative': 'Medications for sleep disturbances and specific symptoms.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Dietary adjustments based on individual symptoms and needs.'}","{'Regular Monitoring': 'Frequent evaluations by a healthcare provider.', 'Manage Risk Factors': 'Symptom management and lifestyle adjustments.'}","{'Primary Specialist': 'Rheumatologist or Pain Specialist.', 'Additional Specialists': 'Physical therapists and mental health professionals for support.'}","{'Initial Care': 'Symptom management and lifestyle adjustments.', 'Ongoing Care': 'Regular assessments and adjustments to management strategies.', 'Hospitalization': 'Not typically required unless complications arise.'}","{'Monitoring': 'Regular assessments of symptom management and functional improvement.', 'Additional Tests': 'None specific unless complications arise.'}","{'Disorder Management': 'Understanding fibromyalgia symptoms and management strategies.', 'Lifestyle Adjustments': 'Importance of pain management and gradual increase in activity.'}",Chronic condition with ongoing management focused on symptom control and functional improvement.
Systemic Lupus Erythematosus (SLE),Mild to Severe,"{'Early': 'Fatigue, joint pain, and skin rashes.', 'Progressing': 'Increased severity of systemic symptoms and potential organ involvement.', 'Severe': 'Significant impairment in daily life due to severe systemic symptoms and organ damage.'}","{'First-Line': 'Antimalarials (e.g., Hydroxychloroquine), corticosteroids.', 'Alternative': 'Immunosuppressants (e.g., Azathioprine) for severe cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Dietary adjustments based on individual symptoms and organ involvement.'}","{'Regular Monitoring': 'Frequent evaluations by a rheumatologist.', 'Manage Risk Factors': 'Medication adherence and monitoring for organ damage.'}","{'Primary Specialist': 'Rheumatologist.', 'Additional Specialists': 'Additional specialists based on organ involvement (e.g., nephrologists, dermatologists).'}","{'Initial Care': 'Medication and symptom management for systemic involvement.', 'Ongoing Care': 'Regular therapy sessions and medication adjustments.', 'Hospitalization': 'Required if there is severe organ damage or complications.'}","{'Monitoring': 'Regular assessments of symptom control and organ function.', 'Additional Tests': 'Blood tests and imaging based on organ involvement and symptoms.'}","{'Disorder Management': 'Understanding SLE symptoms and treatment options.', 'Lifestyle Adjustments': 'Importance of medication adherence and regular monitoring.'}",Chronic condition with ongoing management focused on symptom control and prevention of organ damage.
Rheumatoid Arthritis,Mild to Severe,"{'Early': 'Joint pain and swelling, morning stiffness.', 'Progressing': 'Increased joint damage, morning stiffness, and systemic symptoms.', 'Severe': 'Significant joint damage, deformities, and systemic involvement.'}","{'First-Line': 'Disease-modifying antirheumatic drugs (DMARDs) (e.g., Methotrexate).', 'Alternative': 'Biologics (e.g., TNF inhibitors) for severe cases.'}","{'Balanced Diet': 'Anti-inflammatory diet rich in fruits, vegetables, and omega-3 fatty acids.', 'Specific Diets': 'Gluten-free or low-fat diets if required.'}","{'Regular Monitoring': 'Frequent evaluations by a rheumatologist.', 'Manage Risk Factors': 'Medication adherence and joint protection strategies.'}","{'Primary Specialist': 'Rheumatologist.', 'Additional Specialists': 'Physical therapists for joint function and mobility.'}","{'Initial Care': 'Medication and physical therapy to manage symptoms.', 'Ongoing Care': 'Regular assessments and medication adjustments.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of joint function and therapy effectiveness.', 'Additional Tests': 'Imaging studies to assess joint damage.'}","{'Disorder Management': 'Understanding rheumatoid arthritis and treatment options.', 'Lifestyle Adjustments': 'Importance of medication adherence and joint protection.'}",Chronic condition with ongoing management focused on symptom control and joint preservation.
Psoriasis,Mild to Severe,"{'Early': 'Red patches of skin covered with thick, silvery scales.', 'Progressing': 'Worsening skin lesions and possible joint involvement (psoriatic arthritis).', 'Severe': 'Extensive skin lesions and significant impact on daily life.'}","{'First-Line': 'Topical treatments (e.g., corticosteroids, Vitamin D analogs).', 'Alternative': 'Systemic treatments (e.g., Methotrexate, biologics) for severe cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support skin health.', 'Specific Diets': 'Anti-inflammatory diets and avoiding triggers like alcohol and smoking.'}","{'Regular Monitoring': 'Frequent evaluations by a dermatologist.', 'Manage Risk Factors': 'Medication adherence and lifestyle modifications.'}","{'Primary Specialist': 'Dermatologist.', 'Additional Specialists': 'Rheumatologists for psoriatic arthritis management.'}","{'Initial Care': 'Topical therapies and lifestyle adjustments.', 'Ongoing Care': 'Regular assessments and medication adjustments.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of skin condition and therapy effectiveness.', 'Additional Tests': 'Skin biopsy or imaging for severe cases.'}","{'Disorder Management': 'Understanding psoriasis and treatment options.', 'Lifestyle Adjustments': 'Importance of avoiding triggers and adherence to treatment.'}",Chronic condition with ongoing management focused on symptom control and skin health.
Crohn's Disease,Mild to Severe,"{'Early': 'Abdominal pain, diarrhea, and weight loss.', 'Progressing': 'Increased abdominal pain, severe diarrhea, and potential complications like fistulas.', 'Severe': 'Significant gastrointestinal impairment and systemic complications.'}","{'First-Line': 'Anti-inflammatory drugs (e.g., Mesalamine) and immunosuppressants (e.g., Azathioprine).', 'Alternative': 'Biologics (e.g., Infliximab) for severe cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health and manage symptoms.', 'Specific Diets': 'Low-residue or elemental diets if necessary.'}","{'Regular Monitoring': 'Frequent evaluations by a gastroenterologist.', 'Manage Risk Factors': 'Medication adherence and regular monitoring for complications.'}","{'Primary Specialist': 'Gastroenterologist.', 'Additional Specialists': 'Nutritionists for dietary management and surgeons for complications.'}","{'Initial Care': 'Medication and dietary adjustments for symptom management.', 'Ongoing Care': 'Regular assessments and medication adjustments.', 'Hospitalization': 'Required during severe flare-ups or complications.'}","{'Monitoring': 'Regular assessments of gastrointestinal function and therapy effectiveness.', 'Additional Tests': 'Imaging studies and endoscopy for severe cases.'}","{'Disorder Management': ""Understanding Crohn's disease and treatment options."", 'Lifestyle Adjustments': 'Importance of dietary management and medication adherence.'}",Chronic condition with ongoing management focused on symptom control and disease progression.
Ulcerative Colitis,Mild to Severe,"{'Early': 'Abdominal pain, diarrhea, and rectal bleeding.', 'Progressing': 'Increased frequency and severity of symptoms, including anemia.', 'Severe': 'Significant gastrointestinal impairment and systemic complications.'}","{'First-Line': 'Anti-inflammatory drugs (e.g., Mesalamine) and corticosteroids for flare-ups.', 'Alternative': 'Immunosuppressants (e.g., Azathioprine) and biologics (e.g., Adalimumab) for severe cases.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health and manage symptoms.', 'Specific Diets': 'Low-fiber or elemental diets during flare-ups.'}","{'Regular Monitoring': 'Frequent evaluations by a gastroenterologist.', 'Manage Risk Factors': 'Medication adherence and regular monitoring for complications.'}","{'Primary Specialist': 'Gastroenterologist.', 'Additional Specialists': 'Nutritionists for dietary management and surgeons for complications.'}","{'Initial Care': 'Medication and dietary adjustments for symptom management.', 'Ongoing Care': 'Regular assessments and medication adjustments.', 'Hospitalization': 'Required during severe flare-ups or complications.'}","{'Monitoring': 'Regular assessments of gastrointestinal function and therapy effectiveness.', 'Additional Tests': 'Imaging studies and endoscopy for severe cases.'}","{'Disorder Management': 'Understanding ulcerative colitis and treatment options.', 'Lifestyle Adjustments': 'Importance of dietary management and medication adherence.'}",Chronic condition with ongoing management focused on symptom control and disease progression.
Gout,Mild to Severe,"{'Early': 'Sudden, severe pain in a single joint, often the big toe.', 'Progressing': 'Recurrent attacks affecting multiple joints and potential joint damage.', 'Severe': 'Chronic joint inflammation and damage.'}","{'First-Line': 'Nonsteroidal anti-inflammatory drugs (NSAIDs) (e.g., Ibuprofen), colchicine.', 'Alternative': 'Urate-lowering therapies (e.g., Allopurinol) for chronic management.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Specific Diets': 'Low-purine diets and avoiding alcohol and high-fructose foods.'}","{'Regular Monitoring': 'Frequent evaluations by a healthcare provider.', 'Manage Risk Factors': 'Medication adherence and dietary modifications.'}","{'Primary Specialist': 'Rheumatologist.', 'Additional Specialists': 'Dietitians for dietary management.'}","{'Initial Care': 'Medications to manage acute attacks and lifestyle adjustments.', 'Ongoing Care': 'Regular assessments and medication adjustments for long-term management.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of joint function and therapy effectiveness.', 'Additional Tests': 'Joint fluid analysis or blood tests for uric acid levels.'}","{'Disorder Management': 'Understanding gout and treatment options.', 'Lifestyle Adjustments': 'Importance of dietary management and medication adherence.'}",Chronic condition with ongoing management focused on symptom control and prevention of attacks.
